"CAS_number";"infocard";"STP_PNEC";"URL_Log";"min_STP_PNEC_mg/L";"max_STP_PNEC_mg/L";"STP_PNEC_flag"
"1471312-55-6";"100.226.890";"10 g/L (2)";NA;10000;10000;"N/A"
"1471313-03-7";"100.226.734";"400 µg/L (1)";NA;0.4;0.4;"N/A"
"1471313-51-5";"100.226.896";"5.1 mg/L (1)";NA;5.1;5.1;"N/A"
"1471313-87-7";"100.226.899";"10 mg/L (1)";NA;10;10;"N/A"
"1471314-81-4";"100.227.023";"3.2 mg/L (1)";NA;3.2;3.2;"N/A"
"1471315-26-0";"100.227.029";"Inf";NA;Inf;Inf;"Hazard_unlikely/not_identified"
"1471315-74-8";"100.227.000";"32 mg/L (1)";NA;32;32;"N/A"
"1471316-27-4";"100.227.088";"1.4 mg/L (1)";NA;1.4;1.4;"N/A"
"1471316-72-9";"100.224.679";"1 g/L (1)";NA;1000;1000;"N/A"
"147170-38-5";"100.101.042";NA;NA;NA;NA;"Missing_PNEC"
"147170-44-3";"100.157.889";"3 g/L (1)";NA;3000;3000;"N/A"
"1472-93-1";"100.107.970";"Inf";NA;Inf;Inf;"Hazard_unlikely/not_identified"
"147256-33-5";"100.110.106";"Inf";NA;Inf;Inf;"Hazard_unlikely/not_identified"
"14726-36-4";"100.035.238";"100 mg/L (1)";NA;100;100;"N/A"
"147263-99-8";"100.234.801";NA;NA;NA;NA;"Missing_PNEC"
"1472631-98-3";"100.262.281";NA;NA;NA;NA;"Missing_PNEC"
"1472633-72-9";"100.148.955";"Inf";NA;Inf;Inf;"Hazard_unlikely/not_identified"
"1472634-24-4";"100.218.304";NA;NA;NA;NA;"Missing_PNEC"
"1472650-01-3";"100.256.407";NA;NA;NA;NA;"Missing_PNEC"
"1472650-02-4";"100.259.739";NA;NA;NA;NA;"Missing_PNEC"
"147315-50-2";"100.101.084";"10 mg/L (1)";NA;10;10;"N/A"
"1473386-29-6";"100.241.011";"Inf";NA;Inf;Inf;"Hazard_unlikely/not_identified"
"1473386-36-5";"100.241.010";"Inf";NA;Inf;Inf;"Hazard_unlikely/not_identified"
"147379-38-2";"100.101.333";NA;NA;NA;NA;"Missing_PNEC"
"1474-02-8";"100.014.559";NA;NA;NA;NA;"Missing_PNEC"
"1474-78-8";"100.014.561";NA;NA;NA;NA;"Missing_PNEC"
"147403-03-0";"100.235.975";NA;NA;NA;NA;"Missing_PNEC"
"147403-52-9";"100.220.131";NA;NA;NA;NA;"Missing_PNEC"
"147403-65-4";"100.219.973";NA;NA;NA;NA;"Missing_PNEC"
"1474044-65-9";"100.226.983";"900 µg/L (1)";NA;0.9;0.9;"N/A"
"1474044-66-0";"100.227.250";"31.3 mg/L (1)";NA;31.3;31.3;"N/A"
"1474044-67-1";"100.227.261";"5.57 mg/L (1)";NA;5.57;5.57;"N/A"
"1474044-68-2";"100.227.270";"9.9 mg/L (1)";NA;9.9;9.9;"N/A"
"1474044-69-3";"100.227.269";"Inf";NA;Inf;Inf;"Hazard_unlikely/not_identified"
"1474044-70-6";"100.227.221";"100 mg/L (1)";NA;100;100;"N/A"
"1474044-71-7";"100.227.468";"10 mg/L (1)";NA;10;10;"N/A"
"1474044-72-8";"100.227.424";NA;NA;NA;NA;"Missing_PNEC"
"1474044-73-9";"100.227.485";"8 g/L (1)";NA;8000;8000;"N/A"
"1474044-75-1";"100.227.513";"110 µg/L (1)";NA;0.11;0.11;"N/A"
"1474044-77-3";"100.223.837";"10 mg/L (2)";NA;10;10;"N/A"
"1474044-78-4";"100.227.401";"Inf";NA;Inf;Inf;"Hazard_unlikely/not_identified"
"1474044-79-5";"100.227.564";"10 mg/L (1)";NA;10;10;"N/A"
"1474044-80-8";"100.227.565";"10 mg/L (1)";NA;10;10;"N/A"
"1474044-81-9";"100.227.594";NA;NA;NA;NA;"Missing_PNEC"
"1474044-83-1";"100.227.849";"48 mg/L (1)";NA;48;48;"N/A"
"1474044-84-2";"100.228.750";NA;NA;NA;NA;"Missing_PNEC"
"1474044-86-4";"100.228.783";"50 mg/L (1)";NA;50;50;"N/A"
"14748-93-7";"100.120.281";NA;NA;NA;NA;"Missing_PNEC"
"147504-92-5";"100.103.064";NA;NA;NA;NA;"Missing_PNEC"
"1476113-93-5";"100.235.355";NA;NA;NA;NA;"Missing_PNEC"
"147613-95-4";"100.101.521";NA;NA;NA;NA;"Missing_PNEC"
"147622-83-1";"100.132.083";NA;NA;NA;NA;"Missing_PNEC"
"147622-85-3";"100.131.380";NA;NA;NA;NA;"Missing_PNEC"
"14765-30-1";"100.035.285";"10 mg/L (1)";NA;10;10;"N/A"
"147650-54-2";"100.133.482";NA;NA;NA;NA;"Missing_PNEC"
"1477-19-6";"100.014.570";NA;NA;NA;NA;"Missing_PNEC"
"1477-42-5";"100.014.572";NA;NA;NA;NA;"Missing_PNEC"
"1477-55-0";"100.014.575";"10 mg/L (1)";NA;10;10;"N/A"
"147703-64-8";"100.100.999";NA;NA;NA;NA;"Missing_PNEC"
"147703-65-9";"100.100.978";NA;NA;NA;NA;"Missing_PNEC"
"147732-57-8";"100.102.285";NA;NA;NA;NA;"Missing_PNEC"
"147732-60-3";"100.102.799";NA;NA;NA;NA;"Missing_PNEC"
"147741-93-3";"100.101.169";NA;NA;NA;NA;"Missing_PNEC"
"147769-93-5";"100.117.423";NA;NA;NA;NA;"Missing_PNEC"
"147770-06-7";"100.107.235";NA;NA;NA;NA;"Missing_PNEC"
"147783-69-5";"100.101.389";NA;NA;NA;NA;"Missing_PNEC"
"1478-61-1";"100.014.579";"4.787 mg/L (1)";NA;4.787;4.787;"N/A"
"14782-75-3";"100.035.304";"Inf";NA;Inf;Inf;"Hazard_unlikely/not_identified"
"147853-32-5";"100.117.985";"Inf";NA;Inf;Inf;"Hazard_unlikely/not_identified"
"147858-26-2";"100.116.706";NA;NA;NA;NA;"Missing_PNEC"
"147900-93-4";"100.111.217";NA;NA;NA;NA;"Missing_PNEC"
"14794-31-1";"100.035.308";NA;NA;NA;NA;"Missing_PNEC"
"147977-79-5";"100.234.572";"Inf";NA;Inf;Inf;"Hazard_unlikely/not_identified"
"147993-65-5";"100.218.434";"Inf";NA;Inf;Inf;"Hazard_unlikely/not_identified"
"147993-66-6";"100.125.905";"1.7 mg/L (1)";NA;1.7;1.7;"N/A"
"148-18-5";"100.005.192";NA;NA;NA;NA;"Missing_PNEC"
"148-24-3";"100.005.193";"200 µg/L (1)";NA;0.2;0.2;"N/A"
"148-25-4";"100.005.194";NA;NA;NA;NA;"Missing_PNEC"
"1480-96-2";"100.105.077";NA;NA;NA;NA;"Missing_PNEC"
"148043-73-6";"100.101.994";NA;NA;NA;NA;"Missing_PNEC"
"14805-29-9";"100.216.125";NA;NA;NA;NA;"Missing_PNEC"
"14806-72-5";"100.035.325";"10 mg/L (1)";NA;10;10;"N/A"
"14807-96-6";"100.035.328";"Inf";NA;Inf;Inf;"Hazard_unlikely/not_identified"
"14808-60-7";"100.035.329";NA;NA;NA;NA;"Missing_PNEC"
"148124-40-7";"100.259.765";"58.2 mg/L (1)";NA;58.2;58.2;"N/A"
"14813-01-5";"100.035.331";NA;NA;NA;NA;"Missing_PNEC"
"14814-09-6";"100.035.333";"3.3 mg/L (1)";NA;3.3;3.3;"N/A"
"14814-17-6";"100.241.001";NA;NA;NA;NA;"Missing_PNEC"
"14818-35-0";"100.100.588";NA;NA;NA;NA;"Missing_PNEC"
"1482217-03-7";"100.225.986";NA;NA;NA;NA;"Missing_PNEC"
"148240-69-1";"100.100.225";NA;NA;NA;NA;"Missing_PNEC"
"148262-93-5";"100.100.390";NA;NA;NA;NA;"Missing_PNEC"
"148292-41-5";"100.100.449";NA;NA;NA;NA;"Missing_PNEC"
"148292-42-6";"100.100.474";NA;NA;NA;NA;"Missing_PNEC"
"148292-43-7";"100.100.632";NA;NA;NA;NA;"Missing_PNEC"
"148292-44-8";"100.100.503";NA;NA;NA;NA;"Missing_PNEC"
"148292-46-0";"100.100.555";NA;NA;NA;NA;"Missing_PNEC"
"148292-47-1";"100.100.633";NA;NA;NA;NA;"Missing_PNEC"
"148324-78-1";"100.100.366";NA;NA;NA;NA;"Missing_PNEC"
"148348-12-3";"100.101.437";NA;NA;NA;NA;"Missing_PNEC"
"148348-13-4";"100.101.858";NA;NA;NA;NA;"Missing_PNEC"
"1484-84-0";"100.014.600";NA;NA;NA;NA;"Missing_PNEC"
"148434-01-9";"100.100.725";NA;NA;NA;NA;"Missing_PNEC"
"14846-08-3";"100.035.354";NA;NA;NA;NA;"Missing_PNEC"
"148465-73-0";"100.170.888";"65 mg/L (1)";NA;65;65;"N/A"
"14847-56-4";"100.035.357";NA;NA;NA;NA;"Missing_PNEC"
"148477-71-8";"100.130.204";"100 mg/L (1)";NA;100;100;"N/A"
"14852-17-6";"100.035.362";"50 mg/L (1)";NA;50;50;"N/A"
"148520-81-4";"100.260.814";NA;NA;NA;NA;"Missing_PNEC"
"148520-82-5";"100.122.495";NA;NA;NA;NA;"Missing_PNEC"
"148528-05-6";"100.124.214";NA;NA;NA;NA;"Missing_PNEC"
"14858-73-2";"100.035.372";"Inf";NA;Inf;Inf;"Hazard_unlikely/not_identified"
"14866-33-2";"100.035.382";NA;NA;NA;NA;"Missing_PNEC"
"14871-79-5";"100.035.387";NA;NA;NA;NA;"Missing_PNEC"
"1487263-87-5";"100.238.596";NA;NA;NA;NA;"Missing_PNEC"
"148732-74-5";"100.100.979";NA;NA;NA;NA;"Missing_PNEC"
"14874-82-9";"100.035.392";NA;NA;NA;NA;"Missing_PNEC"
"148757-89-5";"100.102.142";NA;NA;NA;NA;"Missing_PNEC"
"14878-28-5";"100.225.207";NA;NA;NA;NA;"Missing_PNEC"
"14882-18-9";"100.035.397";"17.5 mg/L (1)";NA;17.5;17.5;"N/A"
"14887-42-4";"100.035.404";"Inf";NA;Inf;Inf;"Hazard_unlikely/not_identified"
"148870-55-7";"100.260.538";NA;NA;NA;NA;"Missing_PNEC"
"148870-57-9";"100.116.585";NA;NA;NA;NA;"Missing_PNEC"
"148878-18-6";"100.101.221";NA;NA;NA;NA;"Missing_PNEC"
"148878-21-1";"100.101.223";NA;NA;NA;NA;"Missing_PNEC"
"148878-22-2";"100.101.439";NA;NA;NA;NA;"Missing_PNEC"
"148893-10-1";"100.112.881";NA;NA;NA;NA;"Missing_PNEC"
"1489004-24-1";"100.258.377";NA;NA;NA;NA;"Missing_PNEC"
"1489004-27-4";"100.245.980";NA;NA;NA;NA;"Missing_PNEC"
"1489170-67-3";"100.235.132";NA;NA;NA;NA;"Missing_PNEC"
"148935-94-8";"100.102.122";NA;NA;NA;NA;"Missing_PNEC"
"14898-67-0";"100.120.555";"8.92 mg/L (1)";NA;8.92;8.92;"N/A"
"148992-43-2";"100.204.819";NA;NA;NA;NA;"Missing_PNEC"
"149-30-4";"100.005.216";"300 µg/L (1)";NA;0.3;0.3;"N/A"
"149-32-6";"100.005.217";"Inf";NA;Inf;Inf;"Hazard_unlikely/not_identified"
"149-44-0";"100.005.219";"10 mg/L (1)";NA;10;10;"N/A"
"149-45-1";"100.005.220";NA;NA;NA;NA;"Missing_PNEC"
"149-57-5";"100.005.222";"71.7 mg/L (1)";NA;71.7;71.7;"N/A"
"149-73-5";"100.005.224";"672 mg/L (1)";NA;672;672;"N/A"
"149-74-6";"100.005.225";"100 mg/L (1)";NA;100;100;"N/A"
"149-87-1";"100.005.227";"10 mg/L (1)";NA;10;10;"N/A"
"149-91-7";"100.005.228";NA;NA;NA;NA;"Missing_PNEC"
"1490-04-6";"100.014.614";NA;NA;NA;NA;"Missing_PNEC"
"1490-25-1";"100.014.616";NA;NA;NA;NA;"Missing_PNEC"
"14901-07-6";"100.035.412";"42.8 µg/L (1)";NA;0.0428;0.0428;"N/A"
"149021-58-9";"100.118.706";"34 mg/L (1)";NA;34;34;"N/A"
"149048-48-6";"100.103.610";NA;NA;NA;NA;"Missing_PNEC"
"149057-64-7";"100.100.833";NA;NA;NA;NA;"Missing_PNEC"
"149057-66-9";"100.100.960";NA;NA;NA;NA;"Missing_PNEC"
"149057-70-5";"100.100.419";NA;NA;NA;NA;"Missing_PNEC"
"14907-27-8";"100.167.112";NA;NA;NA;NA;"Missing_PNEC"
"1491-59-4";"100.014.618";NA;NA;NA;NA;"Missing_PNEC"
"149118-66-1";"100.102.254";NA;NA;NA;NA;"Missing_PNEC"
"149144-82-1";"100.100.411";NA;NA;NA;NA;"Missing_PNEC"
"149144-85-4";"100.101.263";"-";NA;NA;NA;"Missing_PNEC"
"149144-86-5";"100.101.264";NA;NA;NA;NA;"Missing_PNEC"
"149172-69-0";"100.100.702";NA;NA;NA;NA;"Missing_PNEC"
"149177-92-4";"100.102.868";NA;NA;NA;NA;"Missing_PNEC"
"149182-72-9";"100.101.369";NA;NA;NA;NA;"Missing_PNEC"
"149289-29-2";"100.243.217";NA;NA;NA;NA;"Missing_PNEC"
"1493-13-6";"100.014.625";"100 mg/L (1)";NA;100;100;"N/A"
"1493-27-2";"100.014.626";NA;NA;NA;NA;"Missing_PNEC"
"149312-24-3";"100.122.330";NA;NA;NA;NA;"Missing_PNEC"
"149315-84-4";"100.100.518";NA;NA;NA;NA;"Missing_PNEC"
"149315-85-5";"100.100.453";"1 mg/L (1)";NA;1;1;"N/A"
"149330-25-6";"100.103.873";NA;NA;NA;NA;"Missing_PNEC"
"149343-84-0";"100.216.007";NA;NA;NA;NA;"Missing_PNEC"
"14940-41-1";"100.035.456";"Inf";NA;Inf;Inf;"Hazard_unlikely/not_identified"
"14952-06-8";"100.242.427";NA;NA;NA;NA;"Missing_PNEC"
"149530-93-8";"100.101.320";NA;NA;NA;NA;"Missing_PNEC"
"149564-65-8";"100.101.341";NA;NA;NA;NA;"Missing_PNEC"
"149564-66-9";"100.101.337";NA;NA;NA;NA;"Missing_PNEC"
"149591-38-8";"100.102.113";NA;NA;NA;NA;"Missing_PNEC"
"14960-06-6";"100.035.469";"300 - 33 000 µg/L (3)";NA;0.3;33;"Bad_value_repaired"
"149626-00-6";"100.101.340";NA;NA;NA;NA;"Missing_PNEC"
"1497-49-0";"100.014.632";NA;NA;NA;NA;"Missing_PNEC"
"14970-87-7";"100.035.480";"6.74 mg/L (1)";NA;6.74;6.74;"N/A"
"1497420-94-6";"100.241.430";NA;NA;NA;NA;"Missing_PNEC"
"149850-29-3";"100.101.411";NA;NA;NA;NA;"Missing_PNEC"
"149850-30-6";"100.101.231";NA;NA;NA;NA;"Missing_PNEC"
"149850-31-7";"100.101.315";NA;NA;NA;NA;"Missing_PNEC"
"149853-76-9";"100.119.311";NA;NA;NA;NA;"Missing_PNEC"
"149855-64-1";"100.239.080";"Inf";NA;Inf;Inf;"Hazard_unlikely/not_identified"
"149861-22-3";"100.105.290";NA;NA;NA;NA;"Missing_PNEC"
"149877-41-8";"100.103.840";NA;NA;NA;NA;"Missing_PNEC"
"1499-21-4";"100.014.643";NA;NA;NA;NA;"Missing_PNEC"
"1499182-59-0";"100.234.249";NA;NA;NA;NA;"Missing_PNEC"
"1499193-54-2";"100.235.314";NA;NA;NA;NA;"Missing_PNEC"
"1499193-60-0";"100.234.096";NA;NA;NA;NA;"Missing_PNEC"
"1499193-61-1";"100.234.097";NA;NA;NA;NA;"Missing_PNEC"
"1499193-66-6";"100.234.098";NA;NA;NA;NA;"Missing_PNEC"
"1499193-67-7";"100.234.107";NA;NA;NA;NA;"Missing_PNEC"
"149934-21-4";"100.126.164";NA;NA;NA;NA;"Missing_PNEC"
"149968-48-9";"100.125.121";NA;NA;NA;NA;"Missing_PNEC"
"150-13-0";"100.005.231";"48.7 mg/L (1)";NA;48.7;48.7;"N/A"
"150-25-4";"100.005.233";NA;NA;NA;NA;"Missing_PNEC"
"150-38-9";"100.005.236";"43 mg/L (1)";NA;43;43;"N/A"
"150-39-0";"100.005.237";"41.1 mg/L (1)";NA;41.1;41.1;"N/A"
"150-46-9";"100.005.238";NA;NA;NA;NA;"Missing_PNEC"
"150-59-4";"100.005.240";NA;NA;NA;NA;"Missing_PNEC"
"150-68-5";"100.005.243";NA;NA;NA;NA;"Missing_PNEC"
"150-76-5";"100.005.246";"10 mg/L (1)";NA;10;10;"N/A"
"150-78-7";"100.005.248";NA;NA;NA;NA;"Missing_PNEC"
"150-84-5";"100.005.251";"10 mg/L (1)";NA;10;10;"N/A"
"150-86-7";"100.101.509";"10 mg/L (1)";NA;10;10;"N/A"
"150-90-3";"100.005.254";"Inf";NA;Inf;Inf;"Hazard_unlikely/not_identified"
"1501-82-2";"100.014.652";NA;NA;NA;NA;"Missing_PNEC"
"150114-71-9";"100.110.366";"10 mg/L (1)";NA;10;10;"N/A"
"150192-89-5";"100.238.024";NA;NA;NA;NA;"Missing_PNEC"
"1501976-34-6";"100.251.463";NA;NA;NA;NA;"Missing_PNEC"
"1502-47-2";"100.014.657";NA;NA;NA;NA;"Missing_PNEC"
"150202-11-2";"100.102.124";NA;NA;NA;NA;"Missing_PNEC"
"15022-08-9";"100.035.537";NA;NA;NA;NA;"Missing_PNEC"
"15024-10-9";"100.101.097";NA;NA;NA;NA;"Missing_PNEC"
"150255-96-2";"100.113.267";NA;NA;NA;NA;"Missing_PNEC"
"1503-48-6";"100.014.659";NA;NA;NA;NA;"Missing_PNEC"
"150379-92-3";"100.103.893";NA;NA;NA;NA;"Missing_PNEC"
"150522-10-4";"100.101.202";NA;NA;NA;NA;"Missing_PNEC"
"1506-02-1";"100.014.667";"2.2 mg/L (1)";NA;2.2;2.2;"N/A"
"150812-32-1";"100.102.321";NA;NA;NA;NA;"Missing_PNEC"
"15082-42-5";"100.244.253";NA;NA;NA;NA;"Missing_PNEC"
"1508261-86-6";"100.254.652";NA;NA;NA;NA;"Missing_PNEC"
"15086-94-9";"100.035.566";NA;NA;NA;NA;"Missing_PNEC"
"150919-56-5";"100.102.035";NA;NA;NA;NA;"Missing_PNEC"
"150928-21-5";"100.130.703";NA;NA;NA;NA;"Missing_PNEC"
"15096-41-0";"100.035.574";"100 mg/L (1)";NA;100;100;"N/A"
"150999-33-0";"100.224.400";"22 mg/L (1)";NA;22;22;"N/A"
"151-05-3";"100.005.257";"31.25 mg/L (1)";NA;31.25;31.25;"N/A"
"151-10-0";"100.005.259";NA;NA;NA;NA;"Missing_PNEC"
"151-13-3";"100.005.260";NA;NA;NA;NA;"Missing_PNEC"
"151-21-3";"100.005.263";"1.35 mg/L (1)";NA;1.35;1.35;"N/A"
"151-50-8";"100.005.267";"50 µg/L (1)";NA;0.05;0.05;"N/A"
"151-56-4";"100.005.268";"1 mg/L (1)";NA;1;1;"N/A"
"151006-11-0";"100.224.793";NA;NA;NA;NA;"Missing_PNEC"
"151006-59-6";"100.101.590";NA;NA;NA;NA;"Missing_PNEC"
"151006-60-9";"100.121.601";"Inf";NA;Inf;Inf;"Hazard_unlikely/not_identified"
"151006-61-0";"100.101.593";"Inf";NA;Inf;Inf;"Hazard_unlikely/not_identified"
"151006-62-1";"100.101.594";"Inf";NA;Inf;Inf;"Hazard_unlikely/not_identified"
"151006-63-2";"100.121.243";"Inf";NA;Inf;Inf;"Hazard_unlikely/not_identified"
"151012-31-6";"100.113.001";NA;NA;NA;NA;"Missing_PNEC"
"15103-27-2";"100.123.988";NA;NA;NA;NA;"Missing_PNEC"
"15107-78-5";"100.247.082";NA;NA;NA;NA;"Missing_PNEC"
"1511-16-6";"100.215.825";NA;NA;NA;NA;"Missing_PNEC"
"151103-08-1";"100.213.920";NA;NA;NA;NA;"Missing_PNEC"
"15112-89-7";"100.035.590";NA;NA;NA;NA;"Missing_PNEC"
"1512-30-7";"100.014.682";NA;NA;NA;NA;"Missing_PNEC"
"151213-15-9";"100.108.897";NA;NA;NA;NA;"Missing_PNEC"
"151213-39-7";"100.102.439";NA;NA;NA;NA;"Missing_PNEC"
"151213-40-0";"100.114.802";NA;NA;NA;NA;"Missing_PNEC"
"15123-80-5";"100.035.607";"Inf";NA;Inf;Inf;"Hazard_unlikely/not_identified"
"151257-01-1";"100.102.308";NA;NA;NA;NA;"Missing_PNEC"
"151262-57-6";"100.124.563";NA;NA;NA;NA;"Missing_PNEC"
"1512859-54-9";"100.224.982";NA;NA;NA;NA;"Missing_PNEC"
"151338-11-3";"100.101.472";NA;NA;NA;NA;"Missing_PNEC"
"15137-09-4";"100.035.620";NA;NA;NA;NA;"Missing_PNEC"
"1514-82-5";"100.156.193";NA;NA;NA;NA;"Missing_PNEC"
"151436-99-6";"100.101.612";NA;NA;NA;NA;"Missing_PNEC"
"15151-57-2";"100.108.692";NA;NA;NA;NA;"Missing_PNEC"
"1516-17-2";"100.014.694";NA;NA;NA;NA;"Missing_PNEC"
"1516-55-8";"100.014.697";NA;NA;NA;NA;"Missing_PNEC"
"151604-82-9";"100.223.690";NA;NA;NA;NA;"Missing_PNEC"
"15165-67-0";"100.100.566";NA;NA;NA;NA;"Missing_PNEC"
"15174-47-7";"100.255.172";"3.66 mg/L (1)";NA;3.66;3.66;"N/A"
"151789-06-9";"100.167.762";NA;NA;NA;NA;"Missing_PNEC"
"151789-09-2";"100.217.742";NA;NA;NA;NA;"Missing_PNEC"
"151798-26-4";"100.101.926";NA;NA;NA;NA;"Missing_PNEC"
"151840-68-5";"100.212.715";NA;NA;NA;NA;"Missing_PNEC"
"151841-65-5";"100.102.897";"Inf";NA;Inf;Inf;"Hazard_unlikely/not_identified"
"151860-15-0";"100.102.521";NA;NA;NA;NA;"Missing_PNEC"
"151882-81-4";"100.101.757";NA;NA;NA;NA;"Missing_PNEC"
"151900-44-6";"100.102.763";"Inf";NA;Inf;Inf;"Hazard_unlikely/not_identified"
"1519029-23-2";"100.234.590";NA;NA;NA;NA;"Missing_PNEC"
"152-97-6";"100.005.284";NA;NA;NA;NA;"Missing_PNEC"
"15205-57-9";"100.126.176";NA;NA;NA;NA;"Missing_PNEC"
"15206-55-0";"100.035.679";"39 mg/L (1)";NA;39;39;"N/A"
"15210-25-0";"100.119.953";NA;NA;NA;NA;"Missing_PNEC"
"1521274-68-9";"100.283.908";NA;NA;NA;NA;"Missing_PNEC"
"15214-89-8";"100.035.683";"100 mg/L (1)";NA;100;100;"N/A"
"1521601-27-3";"100.246.212";NA;NA;NA;NA;"Missing_PNEC"
"152165-12-3";"100.102.692";NA;NA;NA;NA;"Missing_PNEC"
"15217-42-2";"100.035.684";"39.4 mg/L (1)";NA;39.4;39.4;"N/A"
"1522-41-4";"100.157.833";NA;NA;NA;NA;"Missing_PNEC"
"152261-43-3";"100.214.694";NA;NA;NA;NA;"Missing_PNEC"
"152261-44-4";"100.246.392";NA;NA;NA;NA;"Missing_PNEC"
"15229-79-5";"100.235.790";NA;NA;NA;NA;"Missing_PNEC"
"152390-17-5";"100.107.602";NA;NA;NA;NA;"Missing_PNEC"
"15245-12-2";"100.035.702";"Inf";NA;Inf;Inf;"Hazard_unlikely/not_identified"
"15245-44-0";"100.035.703";"100 µg/L (1)";NA;0.1;0.1;"N/A"
"152459-95-5";"100.122.739";NA;NA;NA;NA;"Missing_PNEC"
"152460-07-6";"100.103.368";NA;NA;NA;NA;"Missing_PNEC"
"152460-10-1";"100.103.777";NA;NA;NA;NA;"Missing_PNEC"
"152628-02-9";"100.113.378";NA;NA;NA;NA;"Missing_PNEC"
"152628-03-0";"100.102.297";NA;NA;NA;NA;"Missing_PNEC"
"152630-47-2";"100.102.589";NA;NA;NA;NA;"Missing_PNEC"
"15267-95-5";"100.035.722";"100 mg/L (1)";NA;100;100;"N/A"
"1528-49-0";"100.014.735";NA;NA;NA;NA;"Missing_PNEC"
"152827-98-0";"100.101.191";"100 mg/L (1)";NA;100;100;"N/A"
"152828-23-4";"100.102.208";NA;NA;NA;NA;"Missing_PNEC"
"152828-24-5";"100.219.120";NA;NA;NA;NA;"Missing_PNEC"
"15285-58-2";"100.306.067";NA;NA;NA;NA;"Missing_PNEC"
"152873-67-1";"100.246.579";NA;NA;NA;NA;"Missing_PNEC"
"15290-77-4";"100.102.902";NA;NA;NA;NA;"Missing_PNEC"
"15295-77-9";"100.221.118";NA;NA;NA;NA;"Missing_PNEC"
"153-00-4";"100.005.285";NA;NA;NA;NA;"Missing_PNEC"
"153-18-4";"100.005.287";NA;NA;NA;NA;"Missing_PNEC"
"153-61-7";"100.005.288";NA;NA;NA;NA;"Missing_PNEC"
"1530-32-1";"100.014.749";"190 - 20 200 µg/L (2)";NA;0.19;20.2;"Bad_value_repaired"
"1530-48-9";"100.014.756";NA;NA;NA;NA;"Missing_PNEC"
"153004-31-0";"100.170.823";NA;NA;NA;NA;"Missing_PNEC"
"153042-18-3";"100.101.946";NA;NA;NA;NA;"Missing_PNEC"
"15305-07-4";"100.035.749";NA;NA;NA;NA;"Missing_PNEC"
"15306-17-9";"100.035.751";"Inf";NA;Inf;Inf;"Hazard_unlikely/not_identified"
"15307-79-6";"100.035.754";NA;NA;NA;NA;"Missing_PNEC"
"15307-86-5";"100.035.755";NA;NA;NA;NA;"Missing_PNEC"
"15307-93-4";"100.035.756";NA;NA;NA;NA;"Missing_PNEC"
"153078-05-8";"100.248.412";NA;NA;NA;NA;"Missing_PNEC"
"15308-01-7";"100.035.757";NA;NA;NA;NA;"Missing_PNEC"
"1531-77-7";"100.014.765";NA;NA;NA;NA;"Missing_PNEC"
"1531-85-7";"100.123.008";NA;NA;NA;NA;"Missing_PNEC"
"15318-45-3";"100.035.762";NA;NA;NA;NA;"Missing_PNEC"
"153195-44-9";"100.105.812";NA;NA;NA;NA;"Missing_PNEC"
"15323-35-0";"100.035.766";NA;NA;NA;NA;"Missing_PNEC"
"153259-31-5";"100.131.725";NA;NA;NA;NA;"Missing_PNEC"
"1533-45-5";"100.014.769";"680 µg/L (1)";NA;0.68;0.68;"N/A"
"1533-78-4";"100.014.774";"10 mg/L (1)";NA;10;10;"N/A"
"15332-99-7";"100.035.768";NA;NA;NA;NA;"Missing_PNEC"
"1533519-84-4";"100.243.091";NA;NA;NA;NA;"Missing_PNEC"
"1533519-85-5";"100.225.394";NA;NA;NA;NA;"Missing_PNEC"
"1533519-87-7";"100.218.872";NA;NA;NA;NA;"Missing_PNEC"
"153352-59-1";"100.101.106";NA;NA;NA;NA;"Missing_PNEC"
"15336-18-2";"100.035.770";NA;NA;NA;NA;"Missing_PNEC"
"15337-18-5";"100.035.775";"Inf";NA;Inf;Inf;"Hazard_unlikely/not_identified"
"15340-95-1";"100.117.907";NA;NA;NA;NA;"Missing_PNEC"
"153433-21-7";"100.189.756";NA;NA;NA;NA;"Missing_PNEC"
"153441-77-1";"100.101.360";NA;NA;NA;NA;"Missing_PNEC"
"153488-25-6";"100.101.346";NA;NA;NA;NA;"Missing_PNEC"
"153519-44-9";"100.101.014";"1 mg/L (1)";NA;1;1;"N/A"
"15356-60-2";"100.035.791";"237 µg/L (1)";NA;0.237;0.237;"N/A"
"15358-22-2";"100.035.796";NA;NA;NA;NA;"Missing_PNEC"
"15362-40-0";"100.035.802";NA;NA;NA;NA;"Missing_PNEC"
"153621-80-8";"100.107.873";NA;NA;NA;NA;"Missing_PNEC"
"15365-14-7";"100.105.146";"10 mg/L (1)";NA;10;10;"N/A"
"15366-08-2";"100.035.806";NA;NA;NA;NA;"Missing_PNEC"
"153719-23-4";"100.102.703";"10 mg/L (2)";NA;10;10;"N/A"
"153719-38-1";"100.102.937";NA;NA;NA;NA;"Missing_PNEC"
"153723-40-1";"100.101.754";NA;NA;NA;NA;"Missing_PNEC"
"15373-31-6";"100.035.808";NA;NA;NA;NA;"Missing_PNEC"
"153733-74-5";"100.102.663";NA;NA;NA;NA;"Missing_PNEC"
"15375-21-0";"100.103.180";NA;NA;NA;NA;"Missing_PNEC"
"15375-84-5";"100.035.809";"64 mg/L (1)";NA;64;64;"N/A"
